precinct,office,party_detailed,party_simplified,votes,county_name,county_fips,jurisdiction_name,candidate,year,stage,state,special,writein,date
Clearwater-B,US PRESIDENT,DEMOCRATIC,DEMOCRAT,141,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-B,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,1,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,WE THE PEOPLE,OTHER,8,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-B,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,3,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,REPUBLICAN,REPUBLICAN,525,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,DEMOCRATIC,DEMOCRAT,120,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-C,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,1,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,WE THE PEOPLE,OTHER,6,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Clearwater-C,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,2,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,REPUBLICAN,REPUBLICAN,204,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,DEMOCRATIC,DEMOCRAT,29,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Meadowbrook,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,WE THE PEOPLE,OTHER,2,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Meadowbrook,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,18,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,REPUBLICAN,REPUBLICAN,685,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,DEMOCRATIC,DEMOCRAT,395,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-1,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,1,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,WE THE PEOPLE,OTHER,15,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-1,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,10,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,REPUBLICAN,REPUBLICAN,642,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,DEMOCRATIC,DEMOCRAT,369,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-2,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,2,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,WE THE PEOPLE,OTHER,11,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-2,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,7,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,REPUBLICAN,REPUBLICAN,339,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,DEMOCRATIC,DEMOCRAT,168,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-3,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,WE THE PEOPLE,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-3,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,1,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,PARTY FOR SOCIALISM AND LIBERATION,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,REPUBLICAN,REPUBLICAN,512,PRAIRIE COUNTY,18699,STATEWIDE,DONALD J TRUMP,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,DEMOCRATIC,DEMOCRAT,182,PRAIRIE COUNTY,18699,STATEWIDE,KAMALA D HARRIS,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-4,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,WE THE PEOPLE,OTHER,6,PRAIRIE COUNTY,18699,STATEWIDE,ROBERT F KENNEDY,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,OTHER,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-4,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-5,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-5,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
Ridgewood-5,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,9,PRAIRIE COUNTY,18699,STATEWIDE,CHASE OLIVER,2024,GEN,INDIANA,FALSE,FALSE,2024-11-05
Ridgewood-5,US PRESIDENT,INDEPENDENT,OTHER,0,PRAIRIE COUNTY,18699,STATEWIDE,WRITE-IN,2024,GEN,INDIANA,FALSE,TRUE,2024-11-05
